Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-08-31,521.1599731,531.9899902,517.5800171,529.5599976,529.5599976,4941400,498.0475006,539.1882381,456.9067631,9.715683235,5.184493004,60.77099004,High
2020-09-01,532.5999756,557.3900146,532.4500122,556.5499878,556.5499878,9572700,500.3929993,548.9897041,451.7962944,12.75529047,6.698652497,67.07528531,High
2020-09-02,553.7800293,556.5,537.3699951,552.8400269,552.8400269,5886900,502.9295013,556.9019202,448.9570825,14.69543839,8.298009676,65.51669325,High
2020-09-03,545,554,521.3200073,525.75,525.75,9071100,503.763002,558.642596,448.883408,13.88700014,9.41580777,55.39476138,Medium
2020-09-04,520.1799927,527.3599854,485.980011,516.0499878,516.0499878,8270100,504.8290009,559.7979964,449.8600053,12.32156179,9.996958574,52.28020464,Medium
2020-09-08,498.3999939,522,495,507.019989,507.019989,5572700,506.0110001,560.0467646,451.9752355,10.23432031,10.04443092,49.49055313,Medium
2020-09-09,519.210022,520,492.5700073,500.1900024,500.1900024,6848100,507.6740005,558.6034683,456.7445328,7.937544491,9.623053635,47.42909574,Medium
2020-09-10,503.3500061,506.2900085,478.8399963,480.6700134,480.6700134,6240200,507.9340012,558.220269,457.6477333,4.490469788,8.596536866,42.03952413,Medium
2020-09-11,486.4899902,493.730011,476.8099976,482.0299988,482.0299988,5035200,507.9690018,558.1782183,457.7597853,1.84708565,7.246646622,42.52952129,Medium
2020-09-14,480.6199951,488.9899902,471.2999878,476.2600098,476.2600098,7359100,507.6480026,558.6143509,456.6816543,-0.705275242,5.65626225,40.94784323,Medium
2020-09-15,484,497.4700012,481.6300049,495.9899902,495.9899902,5337000,508.3300018,558.2247738,458.4352298,-1.123049291,4.300399942,48.06093016,Medium
2020-09-16,499.9899902,504.6600037,483.3099976,483.8599854,483.8599854,4394900,507.9295013,558.504534,457.3544687,-2.405202575,2.959279438,44.51108404,Medium
2020-09-17,475.1600037,478.3999939,463.269989,470.2000122,470.2000122,5379300,507.213002,559.5588587,454.8671453,-4.472013376,1.473020875,40.85175372,Medium
2020-09-18,472.5100098,479.3999939,458.6000061,469.9599915,469.9599915,6717700,505.8160019,560.6409748,450.991029,-6.059493427,-0.033481985,40.78830065,Medium
2020-09-21,467.6900024,487.7799988,466.3200073,487.3500061,487.3500061,5457500,505.5680023,560.6942586,450.441746,-5.846953911,-1.19617637,47.1886685,Medium
2020-09-22,489.0100098,491.8200073,479.2600098,491.1700134,491.1700134,3482300,505.6860031,560.6711447,450.7008616,-5.309072466,-2.018755589,48.50543194,Medium
2020-09-23,491.0400085,491.0400085,469,470.6099854,470.6099854,3726400,504.6875031,561.5218565,447.8531496,-6.467269328,-2.908458337,42.38062762,Medium
2020-09-24,470.5299988,477,467.8200073,473.0799866,473.0799866,3727200,500.9650009,555.6980283,446.2319736,-7.103950313,-3.747556732,43.30679818,Medium
2020-09-25,474.3900146,484.8699951,468.0299988,482.8800049,482.8800049,3769400,498.7955002,552.739299,444.8517014,-6.740049905,-4.346055367,46.95030625,Medium
2020-09-28,489.1099854,492,477.8800049,490.6499939,490.6499939,4773500,497.1334991,549.8563165,444.4106818,-5.758304879,-4.628505269,49.70992589,Medium
2020-09-29,489.5,496.2900085,486.5299988,493.480011,493.480011,3541500,495.3294998,545.8016607,444.8573389,-4.697753368,-4.642354889,50.7155362,Medium
2020-09-30,492.5700073,504.6300049,489.269989,500.0299988,500.0299988,4634100,492.5035004,534.0898252,450.9171756,-3.290795143,-4.37204294,53.0552903,Medium
2020-10-01,506.0299988,529.5499878,503.6000061,527.5100098,527.5100098,8153700,491.2369995,526.0829318,456.3910672,0.041162123,-3.489401927,61.3463774,High
2020-10-02,516.4299927,526.3699951,502.7000122,503.0599976,503.0599976,6071200,490.1024994,521.5266922,458.6783065,0.700772543,-2.651367033,52.46743018,Medium
